,ds,output,0,1,2,3,4,5,6
95,2017-06-20,02 31 03 32 06 14 03,02,31,03,32,06,14,03
94,2017-06-22,23 11 26 30 06 14 02,23,11,26,30,06,14,02
93,2017-06-25,06 16 03 23 26 30 14,06,16,03,23,26,30,14
92,2017-06-27,06 23 16 31 30 02 02,06,23,16,31,30,02,02
91,2017-06-29,19 01 06 03 29 21 07,19,01,06,03,29,21,07
90,2017-07-02,04 01 08 15 14 09 13,04,01,08,15,14,09,13
89,2017-07-04,22 17 02 01 04 15 14,22,17,02,01,04,15,14
88,2017-07-06,18 24 22 07 05 19 16,18,24,22,07,05,19,16
87,2017-07-09,03 27 23 14 07 25 08,03,27,23,14,07,25,08
86,2017-07-11,24 12 16 01 22 20 08,24,12,16,01,22,20,08
85,2017-07-13,03 14 05 30 26 25 05,03,14,05,30,26,25,05
84,2017-07-16,14 21 18 28 29 25 10,14,21,18,28,29,25,10
83,2017-07-18,08 14 24 20 03 26 12,08,14,24,20,03,26,12
82,2017-07-20,11 05 01 22 24 20 02,11,05,01,22,24,20,02
81,2017-07-23,01 25 30 06 05 16 09,01,25,30,06,05,16,09
80,2017-07-25,05 06 13 03 22 20 07,05,06,13,03,22,20,07
79,2017-07-27,28 03 19 14 13 06 06,28,03,19,14,13,06,06
78,2017-07-30,22 18 07 29 23 09 06,22,18,07,29,23,09,06
77,2017-08-01,16 11 12 13 23 25 12,16,11,12,13,23,25,12
76,2017-08-03,33 16 22 10 01 07 09,33,16,22,10,01,07,09
75,2017-08-06,07 10 28 05 23 29 03,07,10,28,05,23,29,03
74,2017-08-08,29 10 33 18 19 32 09,29,10,33,18,19,32,09
73,2017-08-10,22 07 27 09 15 08 12,22,07,27,09,15,08,12
72,2017-08-13,31 28 08 11 19 13 06,31,28,08,11,19,13,06
71,2017-08-15,22 09 19 12 29 10 16,22,09,19,12,29,10,16
70,2017-08-17,12 19 02 06 29 11 06,12,19,02,06,29,11,06
69,2017-08-20,18 10 30 31 19 05 03,18,10,30,31,19,05,03
68,2017-08-22,04 27 22 30 33 19 01,04,27,22,30,33,19,01
67,2017-08-24,06 05 16 28 29 02 04,06,05,16,28,29,02,04
66,2017-08-27,23 04 07 18 24 08 02,23,04,07,18,24,08,02
65,2017-08-29,11 28 01 32 04 31 16,11,28,01,32,04,31,16
64,2017-08-31,10 14 04 20 18 08 11,10,14,04,20,18,08,11
63,2017-09-03,25 31 33 01 21 23 01,25,31,33,01,21,23,01
62,2017-09-05,01 14 23 30 20 15 14,01,14,23,30,20,15,14
61,2017-09-07,03 12 06 25 07 26 07,03,12,06,25,07,26,07
60,2017-09-10,31 20 25 12 15 27 02,31,20,25,12,15,27,02
59,2017-09-12,32 30 08 09 15 17 06,32,30,08,09,15,17,06
58,2017-09-14,17 14 15 20 07 12 01,17,14,15,20,07,12,01
57,2017-09-17,21 16 08 14 18 23 16,21,16,08,14,18,23,16
56,2017-09-19,12 19 15 23 01 03 14,12,19,15,23,01,03,14
55,2017-09-21,19 10 05 32 17 29 12,19,10,05,32,17,29,12
54,2017-09-24,23 16 22 10 03 14 11,23,16,22,10,03,14,11
53,2017-09-26,29 06 04 33 16 27 05,29,06,04,33,16,27,05
52,2017-09-28,06 12 15 13 18 26 13,06,12,15,13,18,26,13
51,2017-10-01,11 04 31 25 10 30 01,11,04,31,25,10,30,01
50,2017-10-03,14 30 22 32 02 20 02,14,30,22,32,02,20,02
49,2017-10-05,11 08 02 01 14 21 09,11,08,02,01,14,21,09
48,2017-10-08,22 33 09 30 15 08 16,22,33,09,30,15,08,16
47,2017-10-10,31 09 25 26 21 16 14,31,09,25,26,21,16,14
46,2017-10-12,10 19 08 23 28 15 16,10,19,08,23,28,15,16
45,2017-10-15,32 19 22 18 24 11 07,32,19,22,18,24,11,07
44,2017-10-17,22 21 27 24 20 11 15,22,21,27,24,20,11,15
43,2017-10-19,06 31 04 21 11 05 10,06,31,04,21,11,05,10
42,2017-10-22,28 26 02 06 29 11 03,28,26,02,06,29,11,03
41,2017-10-24,25 23 14 01 29 30 03,25,23,14,01,29,30,03
40,2017-10-26,21 01 27 30 16 17 16,21,01,27,30,16,17,16
39,2017-10-29,21 24 14 27 32 15 12,21,24,14,27,32,15,12
38,2017-10-31,22 29 02 31 13 06 08,22,29,02,31,13,06,08
37,2017-11-02,14 33 09 21 06 05 02,14,33,09,21,06,05,02
36,2017-11-05,31 13 05 23 25 14 02,31,13,05,23,25,14,02
35,2017-11-07,07 27 10 01 11 26 11,07,27,10,01,11,26,11
34,2017-11-09,09 13 05 02 03 28 11,09,13,05,02,03,28,11
33,2017-11-12,30 23 18 15 17 06 11,30,23,18,15,17,06,11
32,2017-11-14,28 05 04 11 14 32 04,28,05,04,11,14,32,04
31,2017-11-16,07 14 18 06 01 26 16,07,14,18,06,01,26,16
30,2017-11-19,03 10 18 07 24 21 12,03,10,18,07,24,21,12
29,2017-11-21,26 10 23 31 05 20 03,26,10,23,31,05,20,03
28,2017-11-23,28 01 24 17 32 33 02,28,01,24,17,32,33,02
27,2017-11-26,28 14 24 02 20 32 16,28,14,24,02,20,32,16
26,2017-11-28,28 21 22 25 29 30 08,28,21,22,25,29,30,08
25,2017-11-30,07 06 11 13 01 15 05,07,06,11,13,01,15,05
24,2017-12-03,23 13 14 18 08 33 06,23,13,14,18,08,33,06
23,2017-12-05,14 06 29 20 04 09 14,14,06,29,20,04,09,14
22,2017-12-07,16 14 32 03 20 31 09,16,14,32,03,20,31,09
21,2017-12-10,17 12 28 06 25 02 12,17,12,28,06,25,02,12
20,2017-12-12,01 25 27 26 33 19 10,01,25,27,26,33,19,10
19,2017-12-14,25 31 07 20 03 21 14,25,31,07,20,03,21,14
18,2017-12-17,07 32 11 14 04 29 12,07,32,11,14,04,29,12
17,2017-12-19,30 20 05 08 27 15 13,30,20,05,08,27,15,13
16,2017-12-21,20 23 19 14 21 06 08,20,23,19,14,21,06,08
15,2017-12-24,09 07 27 02 11 05 16,09,07,27,02,11,05,16
14,2017-12-26,29 26 23 10 06 25 05,29,26,23,10,06,25,05
13,2017-12-28,13 11 07 18 19 12 16,13,11,07,18,19,12,16
12,2017-12-31,15 05 18 13 26 09 05,15,05,18,13,26,09,05
11,2018-01-02,28 11 26 01 31 08 04,28,11,26,01,31,08,04
10,2018-01-04,07 33 18 24 31 29 16,07,33,18,24,31,29,16
9,2018-01-07,16 31 20 01 14 17 04,16,31,20,01,14,17,04
8,2018-01-09,31 18 30 26 14 19 11,31,18,30,26,14,19,11
7,2018-01-11,31 20 21 02 33 28 06,31,20,21,02,33,28,06
6,2018-01-14,09 29 17 07 08 02 11,09,29,17,07,08,02,11
5,2018-01-16,31 20 13 25 27 14 12,31,20,13,25,27,14,12
4,2018-01-18,05 09 17 12 10 19 13,05,09,17,12,10,19,13
3,2018-01-21,10 17 26 23 05 32 07,10,17,26,23,05,32,07
2,2018-01-23,21 22 08 17 01 20 03,21,22,08,17,01,20,03
1,2018-01-25,27 10 03 21 23 33 11,27,10,03,21,23,33,11
0,2018-01-28,12 19 26 11 28 13 12,12,19,26,11,28,13,12
